NOME_EMPRESARIAL;INICIO_ATIVIDADE;NUMERO_DO_ALVARA;NOME_DA_EMPRESA;DATA_EMISSAO;DATA_EXPIRACAO;ATIVIDADE_PRINCIPAL;ATIVIDADE_SECUNDARIA1;ATIVIDADE_SECUNDARIA2;ENDERECO;NUMERO;UNIDADE;ANDAR;COMPLEMENTO;BAIRRO;CEP
1005-COMERCIO DE CONFECCOES LTDA;01/04/1994;287244;1005-COMERCIO DE CONFECCOES LTDA;25/04/1994;***;LJ COM VAR ART ACESSORIOS VESTUAR;***;***;R. MAUÁ;1005;***;***;***;ALTO DA GLÓRIA;80030200
100PRE PRODUCAO DE VIDEOS LTDA;28/11/2005;972114;***;01/12/2010;***;ATIVIDADES DE PRODUÇÃO DE FOTOGRAFIAS, EXCETO AÉRE;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, E;***;R. CORONEL JOÃO MATTOS GUEDES;30;1;***;TÉRREO;AHÚ;82200370
100TEMPO ENTREGAS RAPIDAS LTDA;24/11/2006;1043772;SEMTEMPO ENTREGAS RAPIDAS;30/11/2011;***;SERVIÇOS DE ENTREGA RÁPIDA;COMÉRCIO VAREJISTA DE OUTROS ARTIGOS USADOS;COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFI;R. ENGENHEIRO ALBERTO MONTEIRO DE CARVALHO;187;***;***;***;CAPÃO DA IMBUIA;82810280
100TRAL SERVICOS DE INTERMEDIACOES DE CONSORCIOS E;04/10/2017;1438250;100TRAL CONSORCIOS;15/06/2019;***;ATIVIDADES DE INTERMEDIAÇÃO E AGENCIAMENTO DE SERV;SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINIST;OUTRAS ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEI;R. ADOLPHO MELZER;60;***;***;***;BACACHERI;82600660
100TRAN CENTRO DE FORMACAO DE CONDUTORES EIRELI -;29/04/1998;1180829;WR PAPELARIA E PRESENTES LTDA;02/06/2014;16/05/2015;FORMAÇÃO DE CONDUTORES;***;***;R. DESEMBARGADOR WESTPHALEN;390;***;***;***;CENTRO;80010110
103 ENGENHARIA E CONSULTORIA S/C LTDA;01/02/1998;440638;103 ENGENHARIA E CONSULTORIA S/C LTDA;18/03/1998;***;SERVIÇOS DE ENGENHARIA;SERVIÇOS DE DESENHO TÉCNICO RELACIONADOS À ARQUITE;REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE;R. ALFREDO BUFREN;53;***;T;TR;CENTRO;80020240
105 ODONTOLOGIA LTDA - ME;19/10/2017;1337785;105 ODONTOLOGIA;13/05/2019;***;ATIVIDADE ODONTOLÓGICA;***;***;AV. DO BATEL;1750;105;1;***;BATEL;80420090
10K STORE COMERCIO DE ELETROELETRONICOS - EIRELI;04/05/2018;1448448;10K STORE ELETROELETRONICOS;08/08/2019;***;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS D;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;COMÉRCIO VAREJISTA DE ARTIGOS FOTOGRÁFICOS E PARA;R. SILVEIRA PEIXOTO;950;131;13;***;ÁGUA VERDE;80240120
10P FRANQUIA LTDA. EPP.;17/04/2012;1172412;10P FRANQUIA;24/03/2014;***;GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS;ATIVIDADES DE INTERMEDIAÇÃO E AGENCIAMENTO DE SERV;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, E;R. TEN BRIG FRANCISCO DE ASSIS CORREA DE MELLO;91;***;***;***;JARDIM DAS AMÉRICAS;81540210
10P LANCHES N&F LTDA. - ME;05/10/2012;1120050;10 PASTEIS;18/02/2013;***;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;***;***;R. BATISTA GANZ;430;***;***;***;BIGORRILHO;82010190
